ClassId,TR,EN,TR2
0,abla,sister,abla
1,acele,hurry,acele
2,acikmak,hungry,acıkmak
3,afiyet_olsun,enjoy_your_meal,afiyet olsun
4,agabey,brother,ağabey
5,agac,tree,ağaç
6,agir,heavy,ağır
7,aglamak,cry,ağlamak
8,aile,family,aile
9,akilli,wise,akıllı
10,akilsiz,unwise,akılsız
11,akraba,kin,akraba
12,alisveris,shopping,alışveriş
13,anahtar,key,anahtar
14,anne,mother,anne
15,arkadas,friend,arkadaş
16,ataturk,ataturk,atatürk
17,ayakkabi,shoe,ayakkabı
18,ayna,mirror,ayna
19,ayni,same,aynı
20,baba,father,baba
21,bahce,garden,bahçe
22,bakmak,look,bakmak
23,bal,honey,bal
24,bardak,glass,bardak
25,bayrak,flag,bayrak
26,bayram,feast,bayram
27,bebek,baby,bebek
28,bekar,single,bekar
29,beklemek,wait,beklemek
30,ben,I,ben
31,benzin,petrol,benzin
32,beraber,together,beraber
33,bilgi_vermek,inform,bilgi vermek
34,biz,we,biz
35,calismak,work,çalışmak
36,carsamba,wednesday,çarşamba
37,catal,fork,çatal
38,cay,tea,çay
39,caydanlik,teapot,çaydanlık
40,cekic,hammer,çekiç
41,cirkin,ugly,çirkin
42,cocuk,child,çocuk
43,corba,soup,çorba
44,cuma,friday,cuma
45,cumartesi,saturday,cumartesi
46,cuzdan,wallet,cüzdan
47,dakika,minute,dakika
48,dede,grandfather,dede
49,degistirmek,change,değiştirmek
50,devirmek,topple,devirmek
51,devlet,government,devlet
52,doktor,doctor,doktor
53,dolu,full,dolu
54,dugun,wedding,düğün
55,dun,yesterday,dün
56,dusman,enemy,düşman
57,duvar,wall,duvar
58,eczane,pharmacy,eczane
59,eldiven,glove,eldiven
60,emek,labor,emek
61,emekli,retired,emekli
62,erkek,male,erkek
63,et,meal,et
64,ev,house,ev
65,evet,yes,evet
66,evli,married,evli
67,ezberlemek,memorize,ezberlemek
68,fil,elephant,fil
69,fotograf,photograph,fotoğraf
70,futbol,football,futbol
71,gecmis,past,geçmiş
72,gecmis_olsun,get_well,geçmiş olsun
73,getirmek,bring,getirmek
74,gol,lake,göl
75,gomlek,shirt,gömlek
76,gormek,see,görmek
77,gostermek,show,göstermek
78,gulmek,laugh,gülmek
79,hafif,lightweight,hafif
80,hakli,right,haklı
81,hali,carpet,halı
82,hasta,ill,hasta
83,hastane,hospital,hastane
84,hata,fault,hata
85,havlu,towel,havlu
86,hayir,no,hayır
87,hayirli_olsun,congratulations,hayırlı olsun
88,hayvan,animal,hayvan
89,hediye,gift,hediye
90,helal,halal,helal
91,hep,always,hep
92,hic,never,hiç
93,hoscakal,goodbye,hoşçakal
94,icmek,drink,içmek
95,igne,needle,iğne
96,ilac,medicine,ilaç
97,ilgilenmemek,not_interested,ilgilenmemek
98,isik,light,ışık
99,itmek,push,itmek
100,iyi,good,iyi
101,kacmak,escape,kaçmak
102,kahvalti,breakfast,kahvaltı
103,kalem,pencil,kalem
104,kalorifer,radiator,kalorifer
105,kapi,door,kapı
106,kardes,sibling,kardeş
107,kavsak,crossroads,kavşak
108,kaza,accident,kaza
109,kemer,belt,kemer
110,keske,if_only,keşke
111,kim,who,kim
112,kimlik,identity,kimlik
113,kira,rent,kira
114,kitap,book,kitap
115,kiyma,mince,kıyma
116,kiz,female,kız
117,koku,smell,koku
118,kolonya,cologne,kolonya
119,komur,coal,kömür
120,kopek,dog,köpek
121,kopru,bridge,köprü
122,kotu,bad,kötü
123,kucak,lap,kucak
124,leke,stain,leke
125,maas,salary,maaş
126,makas,scissors,makas
127,masa,tongs,masa
128,masallah,god_preserve,maşallah
129,melek,angel,melek
130,memnun_olmak,be_pleased,memnun olmak
131,mendil,napkin,mendil
132,merdiven,stairs,merdiven
133,misafir,guest,misafir
134,mudur,manager,müdür
135,musluk,tap,musluk
136,nasil,how,nasıl
137,neden,why,neden
138,nerede,where,nerede
139,nine,grandmother,nine
140,ocak,oven,ocak
141,oda,room,oda
142,odun,wood,odun
143,ogretmen,teacher,öğretmen
144,okul,school,okul
145,olimpiyat,olympiad,olimpiyat
146,olmaz,nope,olmaz
147,olur,allright,olur
148,onlar,they,onlar
149,orman,forest,orman
150,oruc,fasting,oruç
151,ozur_dilemek,apologize,özür dilemek
152,pamuk,cotton,pamuk
153,pantolon,trousers,pantolon
154,para,money,para
155,pastirma,pastrami,pastırma
156,patates,potato,patates
157,pazar,sunday,pazar
158,pazartesi,monday,pazartesi
159,pencere,window,pencere
160,persembe,thursday,perşembe
161,piknik,picnic,piknik
162,polis,police,polis
163,psikoloji,psychology,psikoloji
164,rica_etmek,request,rica etmek
165,saat,hour,saat
166,sabun,soap,sabun
167,salca,sauce,salça
168,sali,tuesday,salı
169,sampiyon,champion,şampiyon
170,sapka,hat,şapka
171,savas,war,savaş
172,seker,sugar,şeker
173,selam,hi,selam
174,semsiye,umbrella,şemsiye
175,sen,you,sen
176,senet,bill,senet
177,serbest,free,serbest
178,ses,voice,ses
179,sevmek,love,sevmek
180,seytan,evil,şeytan
181,sinir,border,sınır
182,siz,you,siz
183,soylemek,say,söylemek
184,soz,promise,söz
185,sut,milk,süt
186,tamam,okay,tamam
187,tarak,comb,tarak
188,tarih,date,tarih
189,tatil,holiday,tatil
190,tatli,sweet,tatlı
191,tavan,ceiling,tavan
192,tehlike,danger,tehlike
193,telefon,telephone,telefon
194,terazi,scales,terazi
195,terzi,tailor,terzi
196,tesekkur,thanks,teşekkür
197,tornavida,screwdriver,tornavida
198,turkiye,turkey,türkiye
199,turuncu,orange,turuncu
200,tuvalet,toilet,tuvalet
201,un,flour,un
202,uzak,far,uzak
203,uzgun,sad,üzgün
204,var,existing,var
205,vergi,tax,vergi
206,yakin,near,yakın
207,yalniz,alone,yalnız
208,yanlis,wrong,yanlış
209,yapmak,do,yapmak
210,yarabandi,band-aid,yarabandı
211,yardim,help,yardım
